food_type,calories,fat,carbohydrates,protein,calcium,iron,magnesium,potassium,sodium,vitamin_d,vitamin_b12
red-apple,92.04,0.3119999999999999,21.9336,0.4211999999999999,0.0093599999999999,0.0001716,0.0078,0.1622399999999999,0.0015599999999999,0.0,0.0
carrot,3.69,0.0216,0.8622,0.0837,0.00297,2.7e-05,0.00108,0.0288,0.00621,0.0,0.0
half-bread-loaf,112.23000000000002,1.1438,21.1603,3.9302000000000006,0.03397,0.0015609,0.01677,0.0472999999999999,0.2205899999999999,1.29e-07,1.7200000000000002e-08
lobster,74.76,0.7224,0.0,15.96,0.08064,0.0002436,0.03612,0.1932,0.40824,0.0,1.1984e-06
lasagna,399.1,16.3631,42.4888,20.0778,0.34077,0.0038989,0.06447,0.55874,0.8718799999999999,0.0,1.7499e-06
meatball,59.2,3.2634,4.0219,3.219,0.00962,0.0004144,0.00407,0.05106,0.11655,7.4e-08,3.26e-07
chicken-wing,133.3,8.6387,4.8117,9.0902,0.0288099999999999,0.0004472,0.01032,0.11266,0.37281,4.3e-08,1.974814814814815e-07
costco-egg,28.32,0.0,0.6961999999999999,5.894099999999999,0.00472,3.54e-05,0.00531,0.0707999999999999,0.09794,0.0,2.95e-08
shrimp-nigiri,51.2,0.1503999999999999,10.6848,1.5199999999999998,0.00672,0.0001599999999999,0.0063999999999999,0.0464,0.0854399999999999,3.2e-07,3.52e-08
tuna-nigiri,59.2,0.1739,12.3543,1.7575,0.00777,0.000185,0.0074,0.0536499999999999,0.09879,3.7e-07,4.07e-08
salmon-nigiri,60.8,0.1786,12.6882,1.805,0.00798,0.00019,0.0076,0.0550999999999999,0.10146,3.8e-07,4.1800000000000004e-08
costco-salad-sushi-roll-1,31.590000000000003,0.0621,6.949800000000001,0.5913,0.00324,5.940000000000001e-05,0.00324,0.01701,0.02592,2.7e-08,0.0
costco-california-sushi-roll-1,40.0,0.1175,8.3475,1.1875,0.0052499999999999,0.000125,0.005,0.03625,0.06675,2.5e-07,2.75e-08
costco-shrimp-sushi-roll-1,46.4,0.1362999999999999,9.6831,1.3775,0.00609,0.000145,0.0058,0.04205,0.07743,2.9e-07,3.19e-08
steak,374.85,15.5448,0.0,53.4735,0.01989,0.0051102,0.03825,0.42075,0.08262,1.53e-07,3.73e-06
french-fry,15.6,0.7365,2.072,0.1715,0.0009,4.05e-05,0.00175,0.02895,0.0105,0.0,0.0
corn,83.74,1.8565,17.2852,2.4174,0.0023699999999999,0.000474,0.0221199999999999,0.1943399999999999,0.0157999999999999,0.0,0.0
nature-valley-granola-bar,96.0,4.3020000000000005,12.878,1.802,0.0098,0.00051,0.0196,0.0594,0.0702,0.0,0.0
asian-pear,146.16,0.8004,37.062,1.7399999999999998,0.01392,0.0,0.02784,0.42108,0.0,0.0,0.0
cucumber-piece,4.32,0.0297,0.9801,0.1755,0.00432,7.560000000000001e-05,0.00351,0.03969,0.00054,0.0,0.0
stack-of-tofu-4pc,72.2,8.9411764709375,4.47058823546875,15.647058827604168,0.29058823546875,0.0011176472916666,0.0285,0.1397058827604166,0.0670588236458333,0.0,0.0
